Winery Name,Tier,Primary City / AVA,Website,Key Note
Joseph Phelps Vineyards,Luxury/Cult,St. Helena,josephphelps.com,Known for Insignia blend.
Harlan Estate,Luxury/Cult,Oakville,harlanestate.com,First Growth of California.
Screaming Eagle,Luxury/Cult,Oakville,screamingeagle.com,"Highly allocated, iconic wine."
Dominus Estate,Luxury/Cult,Yountville,dominusestate.com,Owned by Christian Moueix of Bordeaux.
Beaulieu Vineyard (BV),Iconic/Historic,Rutherford,bvnapa.com,Known for Georges de Latour Private Reserve.
Stag's Leap Wine Cellars,Iconic/Historic,Stags Leap District,stagsleapwinecellars.com,Won the 1976 Judgment of Paris.
Chateau Montelena,Iconic/Historic,Calistoga,montelena.com,Historic producer.
Louis M. Martini Winery,Iconic/Historic,St. Helena,louismartini.com,Historic and long-enduring producer.
Shafer Vineyards,Iconic/Historic,Napa,shafervineyards.com,"Renowned for ""Hillside Select"" Cabernet."
Silver Oak,Iconic/Historic,Oakville / Calistoga,silveroak.com,Built a legacy on age-worthy Cabernet.
Heitz Cellar,Iconic/Historic,St. Helena,heitzcellar.com,Known for Martha's Vineyard Cabernet.
Larkmead Vineyards,Iconic/Historic,Calistoga,larkmead.com,One of the oldest family-owned properties.
Pine Ridge Vineyards,Iconic/Historic,Stags Leap District,pineridgevineyards.com,Located in Stags Leap District AVA.
HALL Wines,Iconic/Historic,St. Helena / Rutherford,hallwines.com,"High-rated, modern producer with two locations."
Duckhorn Vineyards,Notable,St. Helena,duckhorn.com,"Primarily known for Merlot, but excellent Cab."
Inglenook,Notable,Rutherford,inglenook.com,Historic Francis Ford Coppola estate.
Corison,Notable,St. Helena,corison.com,"Boutique, classic style Cabernet."
B Cellars,Notable,Oakville,bcellars.com,Offers a variety of single-vineyard Cabs.
Robert Mondavi Winery,Notable,Oakville,mondavi.com,Founded the modern Napa wine industry.
Caymus Vineyards,Notable,Rutherford,caymus.com,Known for its signature style of Cabernet.
